DataSeries,2025Jun,2025May,2025Apr,2025Mar,2025Feb,2025Jan,2024Dec,2024Nov,2024Oct,2024Sep,2024Aug,2024Jul,2024Jun,2024May,2024Apr,2024Mar,2024Feb,2024Jan,2023Dec,2023Nov,2023Oct,2023Sep,2023Aug,2023Jul,2023Jun,2023May,2023Apr,2023Mar,2023Feb,2023Jan,2022Dec,2022Nov,2022Oct,2022Sep,2022Aug,2022Jul,2022Jun,2022May,2022Apr,2022Mar,2022Feb,2022Jan,2021Dec,2021Nov,2021Oct,2021Sep,2021Aug,2021Jul,2021Jun,2021May,2021Apr,2021Mar,2021Feb,2021Jan,2020Dec,2020Nov,2020Oct,2020Sep,2020Aug,2020Jul,2020Jun,2020May,2020Apr,2020Mar,2020Feb,2020Jan,2019Dec,2019Nov,2019Oct,2019Sep,2019Aug,2019Jul,2019Jun,2019May,2019Apr,2019Mar,2019Feb,2019Jan,2018Dec,2018Nov,2018Oct,2018Sep,2018Aug,2018Jul,2018Jun,2018May,2018Apr,2018Mar,2018Feb,2018Jan,2017Dec,2017Nov,2017Oct,2017Sep,2017Aug,2017Jul,2017Jun,2017May,2017Apr,2017Mar,2017Feb,2017Jan,2016Dec,2016Nov,2016Oct,2016Sep,2016Aug,2016Jul,2016Jun,2016May,2016Apr,2016Mar,2016Feb,2016Jan,2015Dec,2015Nov,2015Oct,2015Sep,2015Aug,2015Jul,2015Jun,2015May,2015Apr,2015Mar,2015Feb,2015Jan,2014Dec,2014Nov,2014Oct,2014Sep,2014Aug,2014Jul,2014Jun,2014May,2014Apr,2014Mar,2014Feb,2014Jan,2013Dec,2013Nov,2013Oct,2013Sep,2013Aug,2013Jul,2013Jun,2013May,2013Apr,2013Mar,2013Feb,2013Jan,2012Dec,2012Nov,2012Oct,2012Sep,2012Aug,2012Jul,2012Jun,2012May,2012Apr,2012Mar,2012Feb,2012Jan,2011Dec,2011Nov,2011Oct,2011Sep,2011Aug,2011Jul,2011Jun,2011May,2011Apr
Cash Surplus/Deficit,111.3,10320.6,1958.8,-11041.6,6606.7,-919.2,-11987.1,5586,-3186.6,3487.7,7242.8,2619.4,3884.3,9318.9,1031.9,-18210.2,3541.6,-635.2,-986.6,4499.4,-946.6,2417.7,4316.1,1577.2,2705.8,5659.9,1836.2,-17445.9,4113.9,2369.6,-3552.4,2716.6,-942.5,2661.2,3975.4,959.5,835.5,7580.1,386,-7510.9,5439.3,149.9,-1824.4,2717,-1688.8,-212.7,3015.8,-44.7,345.3,3626.2,1192,-15156.8,3797.4,2776.1,-1790.3,-3449.7,755.6,85.6,-3559.5,719.7,-10715.5,-8117.6,-4688.1,-4398.3,2865.8,626.9,-844.3,1026,62.9,1873.6,3874.5,2181.6,2649.1,17827.5,4486.7,-6625,543.5,300.6,-912.5,1460.6,743.4,2039.8,4169.1,2868.1,3967.6,5102,1517.2,-1784.6,921.8,12456.7,-1595.2,2453.4,1646.8,1837.9,5283.7,1613.5,2340.8,3790.1,934,-1518.3,1900.2,1162.5,704.3,1765.8,-1382.9,-87.9,4673.7,1419.7,2178.6,2825.1,238.4,-3960,-2042.7,-1092,810.7,1990.1,-264.3,2069.4,3796.8,2399.2,2659.4,3129.5,1509.7,-2456,2729.1,907.3,439.7,2953.5,898.3,1152.8,3473.4,2909.9,3639.3,4781.4,929.3,-2882.1,1883.7,1257.2,-785.9,4379.4,2352,2174.8,3798,2681.9,3559.6,4853.1,1990.1,-1323.4,3148.3,1288.7,3422.9,2948.8,1811.2,1535.6,1856.6,1960.6,2212.1,4923.2,1536.4,316.8,2869.2,1721.7,885.3,3363.1,1361.7,2538.7,3587,2584.5,3832.3,5051.4,-745.6
    Net Cash Inflow From Operating Activities,363.3,9220,2513.8,-10825.3,4246.3,-1732.1,-12246.6,3840.6,-2560.4,2587.9,7064.2,1434,4333.7,6697.6,2132.2,-17152.6,935.1,-422.2,-2520.1,1086.1,-2878.8,2484.7,4097.4,1404.5,2807.4,6845.6,2363,-17665.6,3782.1,2589.3,-4263.6,1862.3,-271.9,1902.5,4279.9,-14.3,617.7,7845.3,-158.4,-7161.7,4871.8,33.6,-3088.9,1763.4,-2516,-257.6,2224.8,-614.9,360.5,3193.2,1604.9,-15376.7,2436.5,3108.7,-1597.6,-3200.9,731.8,-900.7,-3346.2,1075.9,-10922,-7831.5,-4996.7,-2988.2,3262.4,134.1,-1516.1,1080,-328.7,2066.8,4068.4,761.6,3012.5,17603.9,1697.6,-6319.3,830,657.9,-2211.7,534,-60.6,1826.6,2161.7,2069.1,2788.5,5037,1356.3,-3508.3,616.3,10861,-1158.1,899.9,418,1626,3537,1382.7,2606.5,3530.6,1101.8,-3228.7,362.2,674,-393.2,1508.4,-946,-89.8,4051.4,1778.2,2537.5,2825.2,326,-8694.9,-2335.7,-621.2,907.6,1344.1,-607.9,1167.9,3823.8,704.6,2186.7,3247.6,877.5,-5117.4,2080.6,1065.4,382.4,1979.5,656.3,1161.2,3410.5,1285.4,2481,4111.2,-42.5,-3670.4,1379.3,879.2,-1675.3,3090.6,446,730.1,2879.2,1292.3,2689.6,3856.8,1079.6,-3297,1719.9,195,1512.8,2095.3,1044.2,458.7,805.5,1230.1,2061.3,4296.3,794.9,-3500.7,1663.6,1011.6,-524.1,1957.1,892.7,1077.2,2294.1,887.5,2238.7,3498.1,-1092
        Cash Receipts From Operating Activities,11670.7,17755.4,9705,9248.9,13398.2,7256.7,7227.5,10951.2,6212.1,10286.9,14913.6,10161.5,11331,16322.6,7029.9,15309,12770.9,7006.1,6659.1,9601.2,5804.9,10109.9,13053.7,8348.7,9585.4,15433.5,5952,14283.5,10724.2,8627.5,5284.4,9610.7,5719.6,8163,11756.7,7958.9,8890.6,12576.8,4746.1,11429.4,11214.7,8087.3,5708.6,8094.6,5167,7296.3,9466.2,7902.6,7732.7,10407.7,5366.5,10921.6,9690.1,10944.6,6246.2,8057.2,6138.7,6359.2,8341.7,8499.1,2755.7,4523,1664.6,9117.1,9903.8,6917.8,4795,7861.6,5468.2,6662.5,10332.3,6408.3,7237,24579.9,4973.2,10585.2,7828.2,8185.2,4621.3,6967.7,5423.2,6236.4,9228.3,7209.5,7348.5,10108.7,4666.5,9382.3,7778.5,15353.8,5226.7,6638.3,5381.6,6177,8951.4,6389.5,6940.5,9335.6,4404.8,8106.9,7313.1,4859.9,5780.2,7031.3,4891.9,6375.3,8589.9,6109.6,6506.8,8640.5,4305.8,7718.1,6136.7,4604.6,6191.1,7071.1,4165.7,5988.9,8452.3,5593.5,6558.6,7840.3,3922.6,6050.1,6523.1,4678.6,5812.7,6580.3,4466.1,5309.9,8053.3,5427.3,6037.8,7840.1,3193.5,5568.4,6376.6,3947.1,4078.9,7288.3,3782.9,4517.6,7061.1,5362.8,5794.1,7006.1,3966.4,5563.1,5786.9,4205.5,5540,5756.3,4167.1,4655.5,6648,5203.7,4959.4,7058.5,3387.8,5054.5,5771.9,4353.6,3736.2,5589.9,3436.9,4452.7,6105.6,5228.2,5164.3,6342.5,3217.9
        Cash Payments For Operating Activities,11307.4,8535.4,7191.2,20074.2,9151.9,8988.8,19474.1,7110.6,8772.5,7699,7849.4,8727.5,6997.3,9625,4897.7,32461.6,11835.8,7428.3,9179.2,8515.1,8683.7,7625.2,8956.3,6944.2,6778,8587.9,3589,31949.1,6942.1,6038.2,9548,7748.4,5991.5,6260.5,7476.8,7973.2,8272.9,4731.5,4904.5,18591.1,6342.9,8053.7,8797.5,6331.2,7683,7553.9,7241.4,8517.5,7372.2,7214.5,3761.6,26298.3,7253.6,7835.9,7843.8,11258.1,5406.9,7259.9,11687.9,7423.2,13677.7,12354.5,6661.3,12105.3,6641.4,6783.7,6311.1,6781.6,5796.9,4595.7,6263.9,5646.7,4224.6,6976,3275.6,16904.5,6998.2,7527.3,6833,6433.7,5483.8,4409.8,7066.6,5140.4,4560,5071.7,3310.2,12890.6,7162.2,4492.8,6384.8,5738.4,4963.6,4550.9,5414.3,5006.8,4334,5805,3303.1,11335.7,6950.9,4185.9,6173.4,5522.9,5837.9,6465.1,4538.5,4331.4,3969.3,5815.3,3979.8,16413,8472.4,5225.8,5283.5,5727,4773.6,4821,4628.5,4888.9,4371.9,4592.7,3045.1,11167.5,4442.5,3613.2,5430.3,4600.8,3809.8,4148.7,4642.8,4141.9,3556.8,3728.9,3236,9238.8,4997.3,3067.9,5754.2,4197.7,3336.9,3787.5,4181.9,4070.5,3104.5,3149.3,2886.8,8860.1,4067,4010.5,4027.2,3661,3122.9,4196.8,5842.5,3973.6,2898.1,2762.2,2592.9,8555.2,4108.3,3342,4260.3,3632.8,2544.2,3375.5,3811.5,4340.7,2925.6,2844.4,4309.9
    Net Cash Outflow From Investments In Non-Financial Assets,252,-1100.6,555,216.3,-2360.4,-812.9,-259.5,-1745.4,626.2,-899.8,-178.6,-1185.4,449.4,-2621.3,1100.3,1057.6,-2606.5,213,-1533.5,-3413.3,-1932.2,67,-218.7,-172.7,101.6,1185.7,526.8,-219.7,-331.8,219.7,-711.2,-854.3,670.6,-758.7,304.5,-973.8,-217.8,265.2,-544.4,349.2,-567.5,-116.3,-1264.5,-953.6,-827.2,-44.9,-791,-570.2,15.2,-433,412.9,-219.9,-1360.9,332.6,192.7,248.8,-23.8,-986.3,213.3,356.2,-206.5,286.1,-308.6,1410.1,396.6,-492.8,-671.8,54,-391.6,193.2,193.9,-1419.9,363.4,-223.5,-2789,305.7,286.5,357.3,-1299.2,-926.6,-804,-213.3,-2007.4,-798.9,-1179.1,-65.1,-160.9,-1723.7,-305.5,-1595.7,437.1,-1553.6,-1228.8,-211.8,-1746.7,-230.7,265.7,-259.5,167.8,-1710.5,-1538,-488.5,-1097.5,-257.4,436.9,-1.9,-622.3,358.5,358.9,0.1,87.6,-4734.9,-293.1,470.8,96.9,-646,-343.6,-901.5,27,-1694.6,-472.7,118.1,-632.2,-2661.4,-648.5,158.1,-57.3,-974,-242,8.4,-62.9,-1624.5,-1158.3,-670.2,-971.8,-788.3,-504.4,-378,-889.4,-1288.8,-1906,-1444.7,-918.8,-1389.6,-870,-996.3,-910.5,-1973.6,-1428.4,-1093.7,-1910.1,-853.5,-767,-1076.9,-1051.1,-730.5,-150.8,-626.9,-741.5,-3817.5,-1205.6,-710.1,-1409.4,-1406,-469,-1461.5,-1292.9,-1697,-1593.6,-1553.3,-346.4
        Purchases Of Non-Financial Assets,1445.9,1443.4,1697.8,1616.1,471.8,728.8,1132,984.5,888.6,939,952.4,1057.7,1358.9,804.3,1215.7,1721.8,449.1,746.4,1065.7,921,837.1,866.2,894.2,775.1,963.5,1186.3,655.1,1505.2,549.4,740.6,721.2,916.9,908.3,909.2,544.6,349.9,619.2,487,669.1,1453.7,505.4,546.3,830.2,709.1,417.6,578,609.5,615.2,679.1,472.9,469.6,1532,510,506.1,696.4,342.6,273.3,186.3,239.2,378.6,430.4,412.4,498.7,1746.5,718.4,674.2,610.5,639.1,704.6,559.1,547.1,550.6,456.1,469.4,419.3,1786,694.3,740.9,530.3,503.1,608.6,400.8,650.1,483.3,616.8,526.6,546.9,1395.6,567.6,644,604.9,623.7,560.4,706.2,552.1,535.8,613.6,588.7,495.9,1646.4,522.5,524.4,669.4,674.8,637.2,557.5,471.8,598,502.8,560.1,675.8,1202.1,388.6,636,577.6,461.9,472.9,517.1,402.5,627.2,433.8,518.4,298,954.9,342.4,517.3,407.4,296.2,437.6,762.8,573.4,451.7,407.8,439.6,430.5,997,282.7,424.2,445.6,376.1,382.5,353.5,311.8,437.4,477.3,399.7,377.1,989.9,341.7,396.7,399.9,487.3,664.8,358.9,562.9,470.5,521,200.5,637.9,1119.2,204.3,429.1,608.1,496,456.4,449.9,463.5,475.5,394.5,355.6,451.7
        Sales Of Non-Financial Assets,1193.9,2544,1142.8,1399.8,2832.2,1541.7,1391.5,2729.9,262.4,1838.8,1131,2243.1,909.5,3425.6,115.4,664.2,3055.6,533.4,2599.2,4334.3,2769.3,799.2,1112.9,947.8,861.9,0.6,128.3,1724.9,881.2,520.9,1432.4,1771.2,237.7,1667.9,240.1,1323.7,837,221.8,1213.5,1104.5,1072.9,662.6,2094.7,1662.7,1244.8,622.9,1400.5,1185.4,663.9,905.9,56.7,1751.9,1870.9,173.5,503.7,93.8,297.1,1172.6,25.9,22.4,636.9,126.3,807.3,336.4,321.8,1167,1282.3,585.1,1096.2,365.9,353.2,1970.5,92.8,693,3208.3,1480.3,407.8,383.5,1829.5,1429.6,1412.6,614,2657.5,1282.3,1795.9,591.7,707.8,3119.4,873.1,2239.8,167.8,2177.3,1789.2,918,2298.7,766.5,347.9,848.2,328.1,3356.9,2060.5,1012.9,1766.9,932.2,200.3,559.4,1094.1,239.5,143.9,560,588.2,5937,681.6,165.2,480.7,1107.9,816.5,1418.6,375.5,2321.8,906.5,400.3,930.2,3616.3,990.9,359.2,464.7,1270.2,679.6,754.4,636.3,2076.2,1566.1,1109.8,1402.3,1785.3,787.1,802.2,1335,1664.9,2288.5,1798.2,1230.6,1827,1347.3,1396,1287.6,2963.5,1770.1,1490.4,2310,1340.8,1431.8,1435.8,1614,1201,671.8,827.4,1379.4,4936.7,1409.9,1139.2,2017.5,1902,925.4,1911.4,1756.4,2172.5,1988.1,1908.9,798.1
Net Cash Inflow From Financing Activities,-24364.9,14402.8,934.8,7678.7,5106.1,16270.2,13454,4518,-9043.3,-5047,14224.6,6101,7363.3,17158.9,-2940.6,9418.8,8208.1,10534.7,8047.1,3685,818.2,4380.7,15000.8,1998.9,11218.9,-983,12852.3,-1038.3,-6371.4,8380.3,3150.6,-3834.7,-10194.7,4610.9,4130.1,7119.2,809.9,-3846.5,8314.4,2809.8,8139.3,9325.5,5087.5,2721.8,-289.5,8965.6,5169.5,9663.5,-3786.2,15041.8,7690.9,9648.6,3875,9528,280,3081.8,12662,-3750.1,3786.7,4352.2,3750.4,17787.3,11285.2,2785.4,4764.6,7704.3,7872.1,9169.4,7143.4,13005.5,12812.3,14278.6,552,6351.5,7717.4,3592.6,4539,7223.7,3908.8,2216.8,2847.5,-3441.8,5616.9,5569.8,5368.7,4636.1,2950.8,2585.8,5397.6,10776,3194.1,-3129.5,2662.1,4166.7,3860,6962.6,3436.2,-1395.4,1876.9,2293.6,5433.6,8375,3661.3,-598,11238.5,-4429.9,6739.3,2850.9,3539.9,632.7,2257.8,3309.1,3877.4,7831.8,2812.7,-1507.4,6262.6,2847.8,3244.7,-4764.7,5907.9,-976.6,8721.1,2263.9,364.6,5766.2,3250.1,2329.1,-4218.9,3599.8,4084.6,-1314.1,489.1,-6910.2,5749.5,-5659.8,-4168.8,-909.3,921.7,-6782.6,3954.6,3653.7,1494.8,-6642.7,1432.9,-7285.7,4677.1,1506.9,3229.1,5341.7,5048.6,-5001.9,4951.6,4206.4,1876.5,3483.2,4593.6,-4152.5,7364,760.2,2743.8,6648.1,4593.6,3730.5,1925.2,-128.6,7830.5,-2808.2,457.1,5018,8594.3
    Net Incurrence Of Liabilities,-23827.5,14366.1,1051.7,8042.1,5300.9,16268.2,13489.4,4753.1,-8925.1,-4839.7,14729.2,6145,7462.3,17375.8,-2751.3,9902.6,8157.9,10642.4,8274.3,3838.3,1008.8,4515.2,15387.8,2604.2,11555,-1110.4,13029.6,-441.2,-6340.8,8468.3,4015.2,-3696.8,-9973.2,4888.2,4716.1,7401.8,1041.6,-3947,8365,3429.1,7926.8,9337.3,5176.6,2510,-229.9,8862.7,5146,9330.8,-4136,14896.6,7551.2,9120.4,3833.3,9328.5,-53.8,2749.3,12396.1,-4316.1,3744.7,4239.4,3502,17684.5,11404.8,2723,4734.4,7813.8,7857.8,9277.7,7244,12973.7,12847.8,14205.1,554.3,6318.5,7618.4,3488.1,4608,7483,3973.3,2216.1,2824,-3464,5619.1,5427.4,5169.2,4530.4,2947.5,2641.5,5597.3,7034.5,3292.6,-2912,2801.7,4332.7,4032,6951.3,3233.8,-1407.5,1929.7,2356.4,5630.4,8635.1,3551.4,-441.5,11336.6,-4291.7,6936.7,2801.5,3677.9,747.3,2261.2,3394.9,3951.3,7908.2,2568.4,-1368.1,6345.8,3365.5,3139.9,-3709.6,5764.4,34,8720.1,2223,546.3,5882.7,3078.2,1444.3,-4193.9,3552.5,4116.3,-1286.8,347.2,-6829.1,5771,-3744.1,-4328.2,-893.8,762.2,-6909.2,3743.1,3412.6,1566.3,-6511.4,1178.3,-7263.6,4089.1,1541.9,2906,5023,4605.1,-5158.1,4560.1,3992.2,1542.7,3258.6,4576.2,-4525.6,7134.6,377.7,2432,6582.2,3969.4,3068.3,2237.7,9.5,7561.4,-3154.2,142.5,4734.6,8500.1
        Domestic,-23827.5,14366.1,1051.7,8042.1,5300.9,16268.2,13489.4,4753.1,-8925.1,-4839.7,14729.2,6145,7462.3,17375.8,-2751.3,9902.6,8157.9,10642.4,8274.3,3838.3,1008.8,4515.2,15387.8,2604.2,11555,-1110.4,13029.6,-441.2,-6340.8,8468.3,4015.2,-3696.8,-9973.2,4888.2,4716.1,7401.8,1041.6,-3947,8365,3429.1,7926.8,9337.3,5176.6,2510,-229.9,8862.7,5146,9330.8,-4136,14896.6,7551.2,9120.4,3833.3,9328.5,-53.8,2749.3,12396.1,-4316.1,3744.7,4239.4,3502,17684.5,11404.8,2723,4734.4,7813.8,7857.8,9277.7,7244,12973.7,12847.8,14205.1,554.3,6318.5,7618.4,3488.1,4608,7483,3973.3,2216.1,2824,-3464,5619.1,5427.4,5169.2,4530.4,2947.5,2641.5,5597.3,7034.5,3292.6,-2912,2801.7,4332.7,4032,6951.3,3233.8,-1407.5,1929.7,2356.4,5630.4,8635.1,3551.4,-441.5,11336.6,-4291.7,6936.7,2801.5,3677.9,747.3,2261.2,3394.9,3951.3,7908.2,2568.4,-1368.1,6345.8,3365.5,3139.9,-3709.6,5764.4,34,8720.1,2223,546.3,5882.7,3078.2,1444.3,-4193.9,3552.5,4116.3,-1286.8,347.2,-6829.1,5771,-3744.1,-4328.2,-893.8,762.2,-6909.2,3743.1,3412.6,1566.3,-6511.4,1178.3,-7263.6,4089.1,1541.9,2906,5023,4605.1,-5158.1,4560.1,3992.2,1542.7,3258.6,4576.2,-4525.6,7134.6,377.7,2432,6582.2,3969.4,3068.3,2237.7,9.5,7561.4,-3154.2,142.5,4734.6,8500.1
        Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Net Acquisition Of Financial Assets Other Than Cash,537.4,-36.7,116.9,363.4,194.8,-2,35.4,235.1,118.2,207.3,504.6,44,99,216.9,189.3,483.8,-50.2,107.7,227.2,153.3,190.6,134.5,387,605.3,336.1,-127.4,177.3,597.1,30.6,88,864.6,137.9,221.5,277.3,586,282.6,231.7,-100.5,50.6,619.3,-212.5,11.8,89.1,-211.8,59.6,-102.9,-23.5,-332.7,-349.8,-145.2,-139.7,-528.2,-41.7,-199.5,-333.8,-332.5,-265.9,-566,-42,-112.8,-248.4,-102.8,119.6,-62.4,-30.2,109.5,-14.3,108.3,100.6,-31.8,35.5,-73.5,2.3,-32.9,-99.1,-104.5,68.9,259.2,64.4,-0.7,-23.4,-22.3,2.3,-142.4,-199.5,-105.7,-3.4,55.8,199.7,-3741.5,98.5,217.6,139.6,166,171.9,-11.3,-202.4,-12.1,52.8,62.8,196.8,260.1,-109.9,156.5,98.1,138.2,197.4,-49.4,138,114.6,3.4,85.8,73.8,76.4,-244.3,139.3,83.2,517.7,-104.8,1055.1,-143.5,1010.6,-1,-40.9,181.7,116.5,-171.9,-884.8,25,-47.3,31.7,27.3,-141.9,81.1,21.5,1915.7,-159.4,15.5,-159.5,-126.6,-211.5,-241.1,71.5,131.3,-254.6,22.1,-588,35,-323.1,-318.7,-443.5,-156.2,-391.5,-214.2,-333.8,-224.6,-17.4,-373.1,-229.4,-382.5,-311.8,-65.9,-624.2,-662.2,312.5,138.1,-269.1,-346,-314.6,-283.4,-94.2
        Domestic Excluding Cash,537.4,-36.7,116.9,363.4,194.8,-2,35.4,235.1,118.2,207.3,504.6,44,99,216.9,189.3,483.8,-50.2,107.7,227.2,153.3,190.6,134.5,387,605.3,336.1,-127.4,177.3,597.1,30.6,88,864.6,137.9,221.5,277.3,586,282.6,231.7,-100.5,50.6,619.3,-212.5,11.8,89.1,-211.8,59.6,-102.9,-23.5,-332.7,-349.8,-145.2,-139.7,-528.2,-41.7,-199.5,-333.8,-332.5,-265.9,-566,-42,-112.8,-248.4,-102.8,119.6,-62.4,-30.2,109.5,-14.3,108.3,100.6,-31.8,35.5,-73.5,2.3,-32.9,-99.1,-104.5,68.9,259.2,64.4,-0.7,-23.4,-22.3,2.3,-142.4,-199.5,-105.7,-3.4,55.8,199.7,-3741.5,98.5,217.6,139.6,166,171.9,-11.3,-202.4,-12.1,52.8,62.8,196.8,260.1,-109.9,156.5,98.1,138.2,197.4,-49.4,138,114.6,3.4,85.8,73.8,76.4,-244.3,139.3,83.2,517.7,-104.8,1055.1,-143.5,1010.6,-1,-40.9,181.7,116.5,-171.9,-884.8,25,-47.3,31.7,27.3,-141.9,81.1,21.5,1915.7,-159.4,15.5,-159.5,-126.6,-211.5,-241.1,71.5,131.3,-254.6,22.1,-588,35,-323.1,-318.7,-443.5,-156.2,-391.5,-214.2,-333.8,-224.6,-17.4,-373.1,-229.4,-382.5,-311.8,-65.9,-624.2,-662.2,312.5,138.1,-269.1,-346,-314.6,-283.4,-94.2
        Foreign Excluding Cash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
